species,age,count
coyote,13,3
other-dog,13,3
othercanine,13,3
other,13,9
brown-bear,14,2
cheetah,15,6
collie,15,5
kitsune,13,3
river-otter,50,1
other-musteloid,15,4
dragon,37,1
other-bird,34,1
collie,23,1
weasel,48,1
dragon,11,2
wolf,97,1
red-fox,97,1
grey-fox,97,1
arctic-fox,97,1
kitsune,97,1
other-fox,97,1
coyote,97,1
german-shep,97,1
husky,97,1
collie,97,1
other-dog,97,1
othercanine,97,1
tiger,97,1
lion,97,1
leopard,97,1
panther,97,1
cheetah,97,1
cougar,97,1
domestic-cat,97,1
other-feline,97,1
dragon,97,1
lizard,97,1
dinosaur,97,1
other-reptile,97,1
raccoon,97,1
skunk,97,1
badger,97,1
river-otter,97,1
sea-otter,97,1
weasel,97,1
other-mustelid,97,1
red-panda,97,1
other-musteloid,97,1
horse,97,1
deer,97,1
other-ungulate,97,1
brown-bear,97,1
grizzly-bear,97,1
pandabear,97,1
polar-bear,97,1
other-bear,97,1
mouse,97,1
rat,97,1
squirrel,97,1
other,97,1
raven,97,1
raptor,97,1
other-bird,97,1
rabbit,97,1
kangaroo,97,1
koala,97,1
othermarsupial,97,1
lemur,97,1
monkey,97,1
other-primate,97,1
hyena,97,1
bat,97,1
griffin,97,1
kitsune,44,1
red-fox,53,1
grizzly-bear,14,2
pandabear,14,5
raven,14,4
koala,14,1
other-primate,14,1
hyena,14,8
other-fox,11,1
cheetah,39,1
mouse,22,2
pandabear,24,1
raccoon,50,1
weasel,50,1
deer,15,5
skunk,36,1
deer,36,1
other-fox,13,3
tiger,13,2
panther,13,4
other-reptile,36,1
skunk,45,1
grizzly-bear,21,2
griffin,24,1
raptor,35,1
lion,35,1
other-dog,54,1
other,54,1
brown-bear,23,1
deer,55,1
husky,13,5
cougar,31,1
rat,13,3
dragon,13,3
raptor,13,3
horse,60,1
leopard,51,1
tiger,48,1
other-reptile,31,1
monkey,28,1
tiger,49,2
german-shep,33,1
rabbit,52,1
kitsune,43,1
dinosaur,14,2
cheetah,49,1
other-ungulate,50,1
coyote,31,1
lemur,14,5
rat,15,4
red-fox,47,2
raccoon,47,1
other-feline,13,1
kangaroo,44,1
other-bird,15,4
badger,30,1
grey-fox,12,2
arctic-fox,12,3
leopard,12,2
lizard,12,2
raccoon,12,3
red-panda,12,2
lion,51,1
collie,12,2
bat,12,2
polar-bear,14,3
other-bear,28,1
other-fox,32,2
dinosaur,32,1
arctic-fox,33,1
brown-bear,21,2
monkey,14,2
dinosaur,34,1
rat,47,1
lizard,11,1
